встреча в 1 Ташкент,1,explicit_tz,Asia/Tashkent,explicit city only
встреча в 1 Астана,1,explicit_tz,Asia/Almaty,explicit city only
встреча в 1 Самара,1,explicit_tz,Europe/Samara,explicit city only
встреча в 1 Сочи,1,explicit_tz,Europe/Moscow,explicit city only
встреча в 1 Уфа,1,explicit_tz,Asia/Yekaterinburg,explicit city only
это по мск ?,1,clarification_question,,clar RU
это по мск сейчас?,1,clarification_question,,clar RU
это по мск на завтра?,1,clarification_question,,clar RU
это по мск вообще?,1,clarification_question,,clar RU
это по мск точно?,1,clarification_question,,clar RU
это по московскому времени ?,1,clarification_question,,clar RU
это по московскому времени сейчас?,1,clarification_question,,clar RU
это по московскому времени на завтра?,1,clarification_question,,clar RU
это по московскому времени вообще?,1,clarification_question,,clar RU
это по московскому времени точно?,1,clarification_question,,clar RU
это по твоему времени ?,1,clarification_question,,clar RU
это по твоему времени сейчас?,1,clarification_question,,clar RU
это по твоему времени на завтра?,1,clarification_question,,clar RU
это по твоему времени вообще?,1,clarification_question,,clar RU
это по твоему времени точно?,1,clarification_question,,clar RU
это в твоем поясе ?,1,clarification_question,,clar RU
это в твоем поясе сейчас?,1,clarification_question,,clar RU
это в твоем поясе на завтра?,1,clarification_question,,clar RU
это в твоем поясе вообще?,1,clarification_question,,clar RU
это в твоем поясе точно?,1,clarification_question,,clar RU
это по UTC ?,1,clarification_question,,clar RU
это по UTC сейчас?,1,clarification_question,,clar RU
это по UTC на завтра?,1,clarification_question,,clar RU
это по UTC вообще?,1,clarification_question,,clar RU
это по UTC точно?,1,clarification_question,,clar RU
это в GMT ?,1,clarification_question,,clar RU
это в GMT сейчас?,1,clarification_question,,clar RU
это в GMT на завтра?,1,clarification_question,,clar RU
это в GMT вообще?,1,clarification_question,,clar RU
это в GMT точно?,1,clarification_question,,clar RU
это по местному ?,1,clarification_question,,clar RU
это по местному сейчас?,1,clarification_question,,clar RU
это по местному на завтра?,1,clarification_question,,clar RU
это по местному вообще?,1,clarification_question,,clar RU
это по местному точно?,1,clarification_question,,clar RU
это по зоне +3 ?,1,clarification_question,,clar RU
это по зоне +3 сейчас?,1,clarification_question,,clar RU
это по зоне +3 на завтра?,1,clarification_question,,clar RU
это по зоне +3 вообще?,1,clarification_question,,clar RU
это по зоне +3 точно?,1,clarification_question,,clar RU
это по киевскому ?,1,clarification_question,,clar RU
это по киевскому сейчас?,1,clarification_question,,clar RU
это по киевскому на завтра?,1,clarification_question,,clar RU
это по киевскому вообще?,1,clarification_question,,clar RU
это по киевскому точно?,1,clarification_question,,clar RU
это в московской зоне ?,1,clarification_question,,clar RU
это в московской зоне сейчас?,1,clarification_question,,clar RU
это в московской зоне на завтра?,1,clarification_question,,clar RU
это в московской зоне вообще?,1,clarification_question,,clar RU
это в московской зоне точно?,1,clarification_question,,clar RU
это это мск ?,1,clarification_question,,clar RU
это это мск сейчас?,1,clarification_question,,clar RU
это это мск на завтра?,1,clarification_question,,clar RU
это это мск вообще?,1,clarification_question,,clar RU
это это мск точно?,1,clarification_question,,clar RU
это в твоей зоне ?,1,clarification_question,,clar RU
это в твоей зоне сейчас?,1,clarification_question,,clar RU
это в твоей зоне на завтра?,1,clarification_question,,clar RU
это в твоей зоне вообще?,1,clarification_question,,clar RU
это в твоей зоне точно?,1,clarification_question,,clar RU
это будет локальное время ?,1,clarification_question,,clar RU
это будет локальное время сейчас?,1,clarification_question,,clar RU
это будет локальное время на завтра?,1,clarification_question,,clar RU
это будет локальное время вообще?,1,clarification_question,,clar RU
это будет локальное время точно?,1,clarification_question,,clar RU
уточни по мск ?,1,clarification_question,,clar RU
уточни по мск сейчас?,1,clarification_question,,clar RU
уточни по мск на завтра?,1,clarification_question,,clar RU
уточни по мск вообще?,1,clarification_question,,clar RU
уточни по мск точно?,1,clarification_question,,clar RU
уточни по московскому времени ?,1,clarification_question,,clar RU
уточни по московскому времени сейчас?,1,clarification_question,,clar RU
уточни по московскому времени на завтра?,1,clarification_question,,clar RU
уточни по московскому времени вообще?,1,clarification_question,,clar RU
уточни по московскому времени точно?,1,clarification_question,,clar RU
уточни по твоему времени ?,1,clarification_question,,clar RU
уточни по твоему времени сейчас?,1,clarification_question,,clar RU
уточни по твоему времени на завтра?,1,clarification_question,,clar RU
уточни по твоему времени вообще?,1,clarification_question,,clar RU
уточни по твоему времени точно?,1,clarification_question,,clar RU
уточни в твоем поясе ?,1,clarification_question,,clar RU
уточни в твоем поясе сейчас?,1,clarification_question,,clar RU
уточни в твоем поясе на завтра?,1,clarification_question,,clar RU
уточни в твоем поясе вообще?,1,clarification_question,,clar RU
уточни в твоем поясе точно?,1,clarification_question,,clar RU
уточни по UTC ?,1,clarification_question,,clar RU
уточни по UTC сейчас?,1,clarification_question,,clar RU
уточни по UTC на завтра?,1,clarification_question,,clar RU
уточни по UTC вообще?,1,clarification_question,,clar RU
уточни по UTC точно?,1,clarification_question,,clar RU
уточни в GMT ?,1,clarification_question,,clar RU
уточни в GMT сейчас?,1,clarification_question,,clar RU
уточни в GMT на завтра?,1,clarification_question,,clar RU
уточни в GMT вообще?,1,clarification_question,,clar RU
уточни в GMT точно?,1,clarification_question,,clar RU
уточни по местному ?,1,clarification_question,,clar RU
уточни по местному сейчас?,1,clarification_question,,clar RU
уточни по местному на завтра?,1,clarification_question,,clar RU
уточни по местному вообще?,1,clarification_question,,clar RU
уточни по местному точно?,1,clarification_question,,clar RU
уточни по зоне +3 ?,1,clarification_question,,clar RU
уточни по зоне +3 сейчас?,1,clarification_question,,clar RU
уточни по зоне +3 на завтра?,1,clarification_question,,clar RU
уточни по зоне +3 вообще?,1,clarification_question,,clar RU
уточни по зоне +3 точно?,1,clarification_question,,clar RU
уточни по киевскому ?,1,clarification_question,,clar RU
уточни по киевскому сейчас?,1,clarification_question,,clar RU
уточни по киевскому на завтра?,1,clarification_question,,clar RU
уточни по киевскому вообще?,1,clarification_question,,clar RU
уточни по киевскому точно?,1,clarification_question,,clar RU
уточни в московской зоне ?,1,clarification_question,,clar RU
уточни в московской зоне сейчас?,1,clarification_question,,clar RU
уточни в московской зоне на завтра?,1,clarification_question,,clar RU
уточни в московской зоне вообще?,1,clarification_question,,clar RU
уточни в московской зоне точно?,1,clarification_question,,clar RU
уточни это мск ?,1,clarification_question,,clar RU
уточни это мск сейчас?,1,clarification_question,,clar RU
уточни это мск на завтра?,1,clarification_question,,clar RU
уточни это мск вообще?,1,clarification_question,,clar RU
уточни это мск точно?,1,clarification_question,,clar RU
уточни в твоей зоне ?,1,clarification_question,,clar RU
уточни в твоей зоне сейчас?,1,clarification_question,,clar RU
уточни в твоей зоне на завтра?,1,clarification_question,,clar RU
уточни в твоей зоне вообще?,1,clarification_question,,clar RU
уточни в твоей зоне точно?,1,clarification_question,,clar RU
уточни будет локальное время ?,1,clarification_question,,clar RU
уточни будет локальное время сейчас?,1,clarification_question,,clar RU
уточни будет локальное время на завтра?,1,clarification_question,,clar RU
уточни будет локальное время вообще?,1,clarification_question,,clar RU
уточни будет локальное время точно?,1,clarification_question,,clar RU
какое по мск ?,1,clarification_question,,clar RU
какое по мск сейчас?,1,clarification_question,,clar RU
какое по мск на завтра?,1,clarification_question,,clar RU
какое по мск вообще?,1,clarification_question,,clar RU
какое по мск точно?,1,clarification_question,,clar RU
какое по московскому времени ?,1,clarification_question,,clar RU
какое по московскому времени сейчас?,1,clarification_question,,clar RU
какое по московскому времени на завтра?,1,clarification_question,,clar RU
какое по московскому времени вообще?,1,clarification_question,,clar RU
какое по московскому времени точно?,1,clarification_question,,clar RU
какое по твоему времени ?,1,clarification_question,,clar RU
какое по твоему времени сейчас?,1,clarification_question,,clar RU
какое по твоему времени на завтра?,1,clarification_question,,clar RU
какое по твоему времени вообще?,1,clarification_question,,clar RU
какое по твоему времени точно?,1,clarification_question,,clar RU
какое в твоем поясе ?,1,clarification_question,,clar RU
какое в твоем поясе сейчас?,1,clarification_question,,clar RU
какое в твоем поясе на завтра?,1,clarification_question,,clar RU
какое в твоем поясе вообще?,1,clarification_question,,clar RU
какое в твоем поясе точно?,1,clarification_question,,clar RU
какое по UTC ?,1,clarification_question,,clar RU
какое по UTC сейчас?,1,clarification_question,,clar RU
какое по UTC на завтра?,1,clarification_question,,clar RU
какое по UTC вообще?,1,clarification_question,,clar RU
какое по UTC точно?,1,clarification_question,,clar RU
какое в GMT ?,1,clarification_question,,clar RU
какое в GMT сейчас?,1,clarification_question,,clar RU
какое в GMT на завтра?,1,clarification_question,,clar RU
какое в GMT вообще?,1,clarification_question,,clar RU
какое в GMT точно?,1,clarification_question,,clar RU
какое по местному ?,1,clarification_question,,clar RU
какое по местному сейчас?,1,clarification_question,,clar RU
какое по местному на завтра?,1,clarification_question,,clar RU
какое по местному вообще?,1,clarification_question,,clar RU
какое по местному точно?,1,clarification_question,,clar RU
какое по зоне +3 ?,1,clarification_question,,clar RU
какое по зоне +3 сейчас?,1,clarification_question,,clar RU
какое по зоне +3 на завтра?,1,clarification_question,,clar RU
какое по зоне +3 вообще?,1,clarification_question,,clar RU
какое по зоне +3 точно?,1,clarification_question,,clar RU
какое по киевскому ?,1,clarification_question,,clar RU
какое по киевскому сейчас?,1,clarification_question,,clar RU
какое по киевскому на завтра?,1,clarification_question,,clar RU
какое по киевскому вообще?,1,clarification_question,,clar RU
какое по киевскому точно?,1,clarification_question,,clar RU
какое в московской зоне ?,1,clarification_question,,clar RU
какое в московской зоне сейчас?,1,clarification_question,,clar RU
какое в московской зоне на завтра?,1,clarification_question,,clar RU
какое в московской зоне вообще?,1,clarification_question,,clar RU
какое в московской зоне точно?,1,clarification_question,,clar RU
какое это мск ?,1,clarification_question,,clar RU
какое это мск сейчас?,1,clarification_question,,clar RU
какое это мск на завтра?,1,clarification_question,,clar RU
какое это мск вообще?,1,clarification_question,,clar RU
какое это мск точно?,1,clarification_question,,clar RU
какое в твоей зоне ?,1,clarification_question,,clar RU
какое в твоей зоне сейчас?,1,clarification_question,,clar RU
какое в твоей зоне на завтра?,1,clarification_question,,clar RU
какое в твоей зоне вообще?,1,clarification_question,,clar RU
какое в твоей зоне точно?,1,clarification_question,,clar RU
какое будет локальное время ?,1,clarification_question,,clar RU
какое будет локальное время сейчас?,1,clarification_question,,clar RU
какое будет локальное время на завтра?,1,clarification_question,,clar RU
какое будет локальное время вообще?,1,clarification_question,,clar RU
какое будет локальное время точно?,1,clarification_question,,clar RU
подскажи по мск ?,1,clarification_question,,clar RU
подскажи по мск сейчас?,1,clarification_question,,clar RU
подскажи по мск на завтра?,1,clarification_question,,clar RU
подскажи по мск вообще?,1,clarification_question,,clar RU
подскажи по мск точно?,1,clarification_question,,clar RU
подскажи по московскому времени ?,1,clarification_question,,clar RU
подскажи по московскому времени сейчас?,1,clarification_question,,clar RU
подскажи по московскому времени на завтра?,1,clarification_question,,clar RU
подскажи по московскому времени вообще?,1,clarification_question,,clar RU
подскажи по московскому времени точно?,1,clarification_question,,clar RU
подскажи по твоему времени ?,1,clarification_question,,clar RU
подскажи по твоему времени сейчас?,1,clarification_question,,clar RU
подскажи по твоему времени на завтра?,1,clarification_question,,clar RU
подскажи по твоему времени вообще?,1,clarification_question,,clar RU
подскажи по твоему времени точно?,1,clarification_question,,clar RU
подскажи в твоем поясе ?,1,clarification_question,,clar RU
подскажи в твоем поясе сейчас?,1,clarification_question,,clar RU
подскажи в твоем поясе на завтра?,1,clarification_question,,clar RU
подскажи в твоем поясе вообще?,1,clarification_question,,clar RU
подскажи в твоем поясе точно?,1,clarification_question,,clar RU
подскажи по UTC ?,1,clarification_question,,clar RU
подскажи по UTC сейчас?,1,clarification_question,,clar RU
подскажи по UTC на завтра?,1,clarification_question,,clar RU
подскажи по UTC вообще?,1,clarification_question,,clar RU
подскажи по UTC точно?,1,clarification_question,,clar RU
подскажи в GMT ?,1,clarification_question,,clar RU
подскажи в GMT сейчас?,1,clarification_question,,clar RU
подскажи в GMT на завтра?,1,clarification_question,,clar RU
подскажи в GMT вообще?,1,clarification_question,,clar RU
подскажи в GMT точно?,1,clarification_question,,clar RU
подскажи по местному ?,1,clarification_question,,clar RU
подскажи по местному сейчас?,1,clarification_question,,clar RU
подскажи по местному на завтра?,1,clarification_question,,clar RU
подскажи по местному вообще?,1,clarification_question,,clar RU
подскажи по местному точно?,1,clarification_question,,clar RU
подскажи по зоне +3 ?,1,clarification_question,,clar RU
подскажи по зоне +3 сейчас?,1,clarification_question,,clar RU
подскажи по зоне +3 на завтра?,1,clarification_question,,clar RU
подскажи по зоне +3 вообще?,1,clarification_question,,clar RU
подскажи по зоне +3 точно?,1,clarification_question,,clar RU
подскажи по киевскому ?,1,clarification_question,,clar RU
подскажи по киевскому сейчас?,1,clarification_question,,clar RU
подскажи по киевскому на завтра?,1,clarification_question,,clar RU
подскажи по киевскому вообще?,1,clarification_question,,clar RU
подскажи по киевскому точно?,1,clarification_question,,clar RU
подскажи в московской зоне ?,1,clarification_question,,clar RU
подскажи в московской зоне сейчас?,1,clarification_question,,clar RU
подскажи в московской зоне на завтра?,1,clarification_question,,clar RU
подскажи в московской зоне вообще?,1,clarification_question,,clar RU
подскажи в московской зоне точно?,1,clarification_question,,clar RU
подскажи это мск ?,1,clarification_question,,clar RU
подскажи это мск сейчас?,1,clarification_question,,clar RU
подскажи это мск на завтра?,1,clarification_question,,clar RU
подскажи это мск вообще?,1,clarification_question,,clar RU
подскажи это мск точно?,1,clarification_question,,clar RU
подскажи в твоей зоне ?,1,clarification_question,,clar RU
подскажи в твоей зоне сейчас?,1,clarification_question,,clar RU
подскажи в твоей зоне на завтра?,1,clarification_question,,clar RU
подскажи в твоей зоне вообще?,1,clarification_question,,clar RU
подскажи в твоей зоне точно?,1,clarification_question,,clar RU
подскажи будет локальное время ?,1,clarification_question,,clar RU
подскажи будет локальное время сейчас?,1,clarification_question,,clar RU
подскажи будет локальное время на завтра?,1,clarification_question,,clar RU
подскажи будет локальное время вообще?,1,clarification_question,,clar RU
подскажи будет локальное время точно?,1,clarification_question,,clar RU
в каком по мск ?,1,clarification_question,,clar RU
в каком по мск сейчас?,1,clarification_question,,clar RU
в каком по мск на завтра?,1,clarification_question,,clar RU
в каком по мск вообще?,1,clarification_question,,clar RU
в каком по мск точно?,1,clarification_question,,clar RU
в каком по московскому времени ?,1,clarification_question,,clar RU
в каком по московскому времени сейчас?,1,clarification_question,,clar RU
в каком по московскому времени на завтра?,1,clarification_question,,clar RU
в каком по московскому времени вообще?,1,clarification_question,,clar RU
в каком по московскому времени точно?,1,clarification_question,,clar RU
в каком по твоему времени ?,1,clarification_question,,clar RU
в каком по твоему времени сейчас?,1,clarification_question,,clar RU
в каком по твоему времени на завтра?,1,clarification_question,,clar RU
в каком по твоему времени вообще?,1,clarification_question,,clar RU
в каком по твоему времени точно?,1,clarification_question,,clar RU
в каком в твоем поясе ?,1,clarification_question,,clar RU
в каком в твоем поясе сейчас?,1,clarification_question,,clar RU
в каком в твоем поясе на завтра?,1,clarification_question,,clar RU
в каком в твоем поясе вообще?,1,clarification_question,,clar RU
в каком в твоем поясе точно?,1,clarification_question,,clar RU
в каком по UTC ?,1,clarification_question,,clar RU
в каком по UTC сейчас?,1,clarification_question,,clar RU
в каком по UTC на завтра?,1,clarification_question,,clar RU
в каком по UTC вообще?,1,clarification_question,,clar RU
в каком по UTC точно?,1,clarification_question,,clar RU
в каком в GMT ?,1,clarification_question,,clar RU
в каком в GMT сейчас?,1,clarification_question,,clar RU
в каком в GMT на завтра?,1,clarification_question,,clar RU
в каком в GMT вообще?,1,clarification_question,,clar RU
в каком в GMT точно?,1,clarification_question,,clar RU
в каком по местному ?,1,clarification_question,,clar RU
в каком по местному сейчас?,1,clarification_question,,clar RU
в каком по местному на завтра?,1,clarification_question,,clar RU
в каком по местному вообще?,1,clarification_question,,clar RU
в каком по местному точно?,1,clarification_question,,clar RU
в каком по зоне +3 ?,1,clarification_question,,clar RU
в каком по зоне +3 сейчас?,1,clarification_question,,clar RU
в каком по зоне +3 на завтра?,1,clarification_question,,clar RU
в каком по зоне +3 вообще?,1,clarification_question,,clar RU
в каком по зоне +3 точно?,1,clarification_question,,clar RU
в каком по киевскому ?,1,clarification_question,,clar RU
в каком по киевскому сейчас?,1,clarification_question,,clar RU
в каком по киевскому на завтра?,1,clarification_question,,clar RU
в каком по киевскому вообще?,1,clarification_question,,clar RU
в каком по киевскому точно?,1,clarification_question,,clar RU
в каком в московской зоне ?,1,clarification_question,,clar RU
в каком в московской зоне сейчас?,1,clarification_question,,clar RU
в каком в московской зоне на завтра?,1,clarification_question,,clar RU
в каком в московской зоне вообще?,1,clarification_question,,clar RU
в каком в московской зоне точно?,1,clarification_question,,clar RU
в каком это мск ?,1,clarification_question,,clar RU
в каком это мск сейчас?,1,clarification_question,,clar RU
в каком это мск на завтра?,1,clarification_question,,clar RU
в каком это мск вообще?,1,clarification_question,,clar RU
в каком это мск точно?,1,clarification_question,,clar RU
в каком в твоей зоне ?,1,clarification_question,,clar RU
в каком в твоей зоне сейчас?,1,clarification_question,,clar RU
в каком в твоей зоне на завтра?,1,clarification_question,,clar RU
в каком в твоей зоне вообще?,1,clarification_question,,clar RU
в каком в твоей зоне точно?,1,clarification_question,,clar RU
в каком будет локальное время ?,1,clarification_question,,clar RU
в каком будет локальное время сейчас?,1,clarification_question,,clar RU
в каком будет локальное время на завтра?,1,clarification_question,,clar RU
в каком будет локальное время вообще?,1,clarification_question,,clar RU
в каком будет локальное время точно?,1,clarification_question,,clar RU
поясни по мск ?,1,clarification_question,,clar RU
поясни по мск сейчас?,1,clarification_question,,clar RU
поясни по мск на завтра?,1,clarification_question,,clar RU
поясни по мск вообще?,1,clarification_question,,clar RU
поясни по мск точно?,1,clarification_question,,clar RU
what timezone ?,1,clarification_question,,clar EN
what timezone please?,1,clarification_question,,clar EN
what timezone now?,1,clarification_question,,clar EN
what timezone for tomorrow?,1,clarification_question,,clar EN
what tz ?,1,clarification_question,,clar EN
what tz please?,1,clarification_question,,clar EN
what tz now?,1,clarification_question,,clar EN
what tz for tomorrow?,1,clarification_question,,clar EN
what PST ?,1,clarification_question,,clar EN
what PST please?,1,clarification_question,,clar EN
what PST now?,1,clarification_question,,clar EN
what PST for tomorrow?,1,clarification_question,,clar EN
what EST ?,1,clarification_question,,clar EN
what EST please?,1,clarification_question,,clar EN
what EST now?,1,clarification_question,,clar EN
what EST for tomorrow?,1,clarification_question,,clar EN
what your time ?,1,clarification_question,,clar EN
what your time please?,1,clarification_question,,clar EN
what your time now?,1,clarification_question,,clar EN
what your time for tomorrow?,1,clarification_question,,clar EN
what London time ?,1,clarification_question,,clar EN
what London time please?,1,clarification_question,,clar EN
what London time now?,1,clarification_question,,clar EN
what London time for tomorrow?,1,clarification_question,,clar EN
what Moscow time ?,1,clarification_question,,clar EN
what Moscow time please?,1,clarification_question,,clar EN
what Moscow time now?,1,clarification_question,,clar EN
what Moscow time for tomorrow?,1,clarification_question,,clar EN
what UTC ?,1,clarification_question,,clar EN
what UTC please?,1,clarification_question,,clar EN
what UTC now?,1,clarification_question,,clar EN
what UTC for tomorrow?,1,clarification_question,,clar EN
what local time ?,1,clarification_question,,clar EN
what local time please?,1,clarification_question,,clar EN
what local time now?,1,clarification_question,,clar EN
what local time for tomorrow?,1,clarification_question,,clar EN
what Pacific time ?,1,clarification_question,,clar EN
what Pacific time please?,1,clarification_question,,clar EN
what Pacific time now?,1,clarification_question,,clar EN
what Pacific time for tomorrow?,1,clarification_question,,clar EN
what Eastern time ?,1,clarification_question,,clar EN
what Eastern time please?,1,clarification_question,,clar EN
what Eastern time now?,1,clarification_question,,clar EN
what Eastern time for tomorrow?,1,clarification_question,,clar EN
what GMT ?,1,clarification_question,,clar EN
what GMT please?,1,clarification_question,,clar EN
what GMT now?,1,clarification_question,,clar EN
what GMT for tomorrow?,1,clarification_question,,clar EN
what CET ?,1,clarification_question,,clar EN
what CET please?,1,clarification_question,,clar EN
what CET now?,1,clarification_question,,clar EN
what CET for tomorrow?,1,clarification_question,,clar EN
which timezone ?,1,clarification_question,,clar EN
which timezone please?,1,clarification_question,,clar EN
which timezone now?,1,clarification_question,,clar EN
which timezone for tomorrow?,1,clarification_question,,clar EN
which tz ?,1,clarification_question,,clar EN
which tz please?,1,clarification_question,,clar EN
which tz now?,1,clarification_question,,clar EN
which tz for tomorrow?,1,clarification_question,,clar EN
which PST ?,1,clarification_question,,clar EN
which PST please?,1,clarification_question,,clar EN
which PST now?,1,clarification_question,,clar EN
which PST for tomorrow?,1,clarification_question,,clar EN
which EST ?,1,clarification_question,,clar EN
which EST please?,1,clarification_question,,clar EN
which EST now?,1,clarification_question,,clar EN
which EST for tomorrow?,1,clarification_question,,clar EN
which your time ?,1,clarification_question,,clar EN
which your time please?,1,clarification_question,,clar EN
which your time now?,1,clarification_question,,clar EN
which your time for tomorrow?,1,clarification_question,,clar EN
which London time ?,1,clarification_question,,clar EN
which London time please?,1,clarification_question,,clar EN
which London time now?,1,clarification_question,,clar EN
which London time for tomorrow?,1,clarification_question,,clar EN
which Moscow time ?,1,clarification_question,,clar EN
which Moscow time please?,1,clarification_question,,clar EN
which Moscow time now?,1,clarification_question,,clar EN
which Moscow time for tomorrow?,1,clarification_question,,clar EN
which UTC ?,1,clarification_question,,clar EN
which UTC please?,1,clarification_question,,clar EN
which UTC now?,1,clarification_question,,clar EN
which UTC for tomorrow?,1,clarification_question,,clar EN
which local time ?,1,clarification_question,,clar EN
which local time please?,1,clarification_question,,clar EN
which local time now?,1,clarification_question,,clar EN
which local time for tomorrow?,1,clarification_question,,clar EN
which Pacific time ?,1,clarification_question,,clar EN
which Pacific time please?,1,clarification_question,,clar EN
which Pacific time now?,1,clarification_question,,clar EN
which Pacific time for tomorrow?,1,clarification_question,,clar EN
which Eastern time ?,1,clarification_question,,clar EN
which Eastern time please?,1,clarification_question,,clar EN
which Eastern time now?,1,clarification_question,,clar EN
which Eastern time for tomorrow?,1,clarification_question,,clar EN
which GMT ?,1,clarification_question,,clar EN
which GMT please?,1,clarification_question,,clar EN
which GMT now?,1,clarification_question,,clar EN
which GMT for tomorrow?,1,clarification_question,,clar EN
which CET ?,1,clarification_question,,clar EN
which CET please?,1,clarification_question,,clar EN
which CET now?,1,clarification_question,,clar EN
which CET for tomorrow?,1,clarification_question,,clar EN
is timezone ?,1,clarification_question,,clar EN
is timezone please?,1,clarification_question,,clar EN
is timezone now?,1,clarification_question,,clar EN
is timezone for tomorrow?,1,clarification_question,,clar EN
is tz ?,1,clarification_question,,clar EN
is tz please?,1,clarification_question,,clar EN
is tz now?,1,clarification_question,,clar EN
is tz for tomorrow?,1,clarification_question,,clar EN
is PST ?,1,clarification_question,,clar EN
is PST please?,1,clarification_question,,clar EN
is PST now?,1,clarification_question,,clar EN
is PST for tomorrow?,1,clarification_question,,clar EN
is EST ?,1,clarification_question,,clar EN
is EST please?,1,clarification_question,,clar EN
is EST now?,1,clarification_question,,clar EN
is EST for tomorrow?,1,clarification_question,,clar EN
is your time ?,1,clarification_question,,clar EN
is your time please?,1,clarification_question,,clar EN
is your time now?,1,clarification_question,,clar EN
is your time for tomorrow?,1,clarification_question,,clar EN
is London time ?,1,clarification_question,,clar EN
is London time please?,1,clarification_question,,clar EN
is London time now?,1,clarification_question,,clar EN
is London time for tomorrow?,1,clarification_question,,clar EN
is Moscow time ?,1,clarification_question,,clar EN
is Moscow time please?,1,clarification_question,,clar EN
is Moscow time now?,1,clarification_question,,clar EN
is Moscow time for tomorrow?,1,clarification_question,,clar EN
is UTC ?,1,clarification_question,,clar EN
is UTC please?,1,clarification_question,,clar EN
is UTC now?,1,clarification_question,,clar EN
is UTC for tomorrow?,1,clarification_question,,clar EN
is local time ?,1,clarification_question,,clar EN
is local time please?,1,clarification_question,,clar EN
is local time now?,1,clarification_question,,clar EN
is local time for tomorrow?,1,clarification_question,,clar EN
is Pacific time ?,1,clarification_question,,clar EN
is Pacific time please?,1,clarification_question,,clar EN
is Pacific time now?,1,clarification_question,,clar EN
is Pacific time for tomorrow?,1,clarification_question,,clar EN
is Eastern time ?,1,clarification_question,,clar EN
is Eastern time please?,1,clarification_question,,clar EN
is Eastern time now?,1,clarification_question,,clar EN
is Eastern time for tomorrow?,1,clarification_question,,clar EN
is GMT ?,1,clarification_question,,clar EN
is GMT please?,1,clarification_question,,clar EN
is GMT now?,1,clarification_question,,clar EN
is GMT for tomorrow?,1,clarification_question,,clar EN
is CET ?,1,clarification_question,,clar EN
is CET please?,1,clarification_question,,clar EN
is CET now?,1,clarification_question,,clar EN
is CET for tomorrow?,1,clarification_question,,clar EN
can you confirm timezone ?,1,clarification_question,,clar EN
can you confirm timezone please?,1,clarification_question,,clar EN
can you confirm timezone now?,1,clarification_question,,clar EN
can you confirm timezone for tomorrow?,1,clarification_question,,clar EN
can you confirm tz ?,1,clarification_question,,clar EN
can you confirm tz please?,1,clarification_question,,clar EN
can you confirm tz now?,1,clarification_question,,clar EN
can you confirm tz for tomorrow?,1,clarification_question,,clar EN
can you confirm PST ?,1,clarification_question,,clar EN
can you confirm PST please?,1,clarification_question,,clar EN
can you confirm PST now?,1,clarification_question,,clar EN
can you confirm PST for tomorrow?,1,clarification_question,,clar EN
can you confirm EST ?,1,clarification_question,,clar EN
can you confirm EST please?,1,clarification_question,,clar EN
can you confirm EST now?,1,clarification_question,,clar EN
can you confirm EST for tomorrow?,1,clarification_question,,clar EN
can you confirm your time ?,1,clarification_question,,clar EN
can you confirm your time please?,1,clarification_question,,clar EN
can you confirm your time now?,1,clarification_question,,clar EN
can you confirm your time for tomorrow?,1,clarification_question,,clar EN
can you confirm London time ?,1,clarification_question,,clar EN
can you confirm London time please?,1,clarification_question,,clar EN
can you confirm London time now?,1,clarification_question,,clar EN
can you confirm London time for tomorrow?,1,clarification_question,,clar EN
can you confirm Moscow time ?,1,clarification_question,,clar EN
can you confirm Moscow time please?,1,clarification_question,,clar EN
can you confirm Moscow time now?,1,clarification_question,,clar EN
can you confirm Moscow time for tomorrow?,1,clarification_question,,clar EN
can you confirm UTC ?,1,clarification_question,,clar EN
can you confirm UTC please?,1,clarification_question,,clar EN
can you confirm UTC now?,1,clarification_question,,clar EN
can you confirm UTC for tomorrow?,1,clarification_question,,clar EN
can you confirm local time ?,1,clarification_question,,clar EN
can you confirm local time please?,1,clarification_question,,clar EN
can you confirm local time now?,1,clarification_question,,clar EN
can you confirm local time for tomorrow?,1,clarification_question,,clar EN
can you confirm Pacific time ?,1,clarification_question,,clar EN
can you confirm Pacific time please?,1,clarification_question,,clar EN
can you confirm Pacific time now?,1,clarification_question,,clar EN
can you confirm Pacific time for tomorrow?,1,clarification_question,,clar EN
can you confirm Eastern time ?,1,clarification_question,,clar EN
can you confirm Eastern time please?,1,clarification_question,,clar EN
can you confirm Eastern time now?,1,clarification_question,,clar EN
can you confirm Eastern time for tomorrow?,1,clarification_question,,clar EN
can you confirm GMT ?,1,clarification_question,,clar EN
can you confirm GMT please?,1,clarification_question,,clar EN
can you confirm GMT now?,1,clarification_question,,clar EN
can you confirm GMT for tomorrow?,1,clarification_question,,clar EN
can you confirm CET ?,1,clarification_question,,clar EN
can you confirm CET please?,1,clarification_question,,clar EN
can you confirm CET now?,1,clarification_question,,clar EN
can you confirm CET for tomorrow?,1,clarification_question,,clar EN
should I assume timezone ?,1,clarification_question,,clar EN
should I assume timezone please?,1,clarification_question,,clar EN
should I assume timezone now?,1,clarification_question,,clar EN
should I assume timezone for tomorrow?,1,clarification_question,,clar EN
should I assume tz ?,1,clarification_question,,clar EN
should I assume tz please?,1,clarification_question,,clar EN
should I assume tz now?,1,clarification_question,,clar EN
should I assume tz for tomorrow?,1,clarification_question,,clar EN
should I assume PST ?,1,clarification_question,,clar EN
